experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev
E00050_260516_ds20_fh30_m17_xgb_hp1,E00050,2026-05-16,ds20,ashd,30,140,30,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,21658.58421325684,6.6893,0.0711009454539419,9.7987,0.9099073273935342,1.7830050377162354,0.0189516607015331,2.6118026494655755,0.2425320061288307
E00051_260516_ds20_fh1440_m1_naive_hp1,E00051,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,2.5399208068847656,34.258300000000006,0.3722556021517118,34.1082,3.394064191103836,9.13140709545006,0.0992231793991293,9.09139856598342,0.9046736655659656
E00052_260516_ds20_fh1440_m2_snaive_hp2,E00052,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,2.675175666809082,41.2352,0.4201668451672231,41.0916,3.647252091948432,10.991070714609377,0.1119937215574869,10.952794733054349,0.9721598453896716
E00053_260516_ds20_fh1440_m3_ets_hp1,E00053,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,686.5288257598877,16.4778,0.7907901533698224,34.29822222222222,3.54288613907425,4.3920889196897415,0.2107818198069735,9.142048197409768,0.944341535590332
E00054_260516_ds20_fh1440_m4_arima_hp1,E00054,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2102.5429010391235,13.9944,0.5492850302388045,60.69855555555556,7.4314511724008385,3.7301489991203978,0.1464096356954993,16.178947025496583,1.98082233984616
E00055_260516_ds20_fh1440_m6_lr_hp1,E00055,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,562.9936456680298,29.001699999999992,0.2854949114160257,29.1234,2.537491114379625,7.730282272036677,0.0760974788538596,7.762720899858732,0.6763576816855359
E00056_260516_ds20_fh1440_m7_ann_hp1,E00056,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,11336.906433105469,30.144300000000005,0.3074609460294649,30.5762,2.9160200730904906,8.034837540315058,0.0819524338378509,8.149958685395953,0.7772529981316445
E00057_260516_ds20_fh1440_m8_dnn_hp1,E00057,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,13962.168169021606,27.5644,0.381608933042424,28.8502,2.5160172142142083,7.347175946904071,0.1017162707685644,7.689900578404456,0.6706339030877226
E00058_260516_ds20_fh1440_m9_rt_hp3,E00058,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,1307.3566913604736,16.3901,1.1905821591884271,37.97420000000001,2.86408417784425,4.368712850174587,0.3173447128470897,10.12186475464456,0.7634097016936986
E00059_260516_ds20_fh1440_m10_rf_hp1,E00059,2026-05-16,ds20,ashd,30,140,1440,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,502763.4161710739,31.1543,0.2343298008268588,31.8525,1.8978363265103293,8.304048831196523,0.062459631854055,8.490151131487059,0.505860363704542
