experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev
E00026_260526_ds24_fh1440_m1_naive_hp1,E00026,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m1,hp1,m1_naive_hp1,hyperparameter_1: No hyperparameter,,,4.304862022399902,15.4697,0.3351063015422618,15.233700000000002,2.8583567171055164,21.5653427632031,0.4671507692371639,21.23634990024416,3.984656608976542
E00027_260526_ds24_fh1440_m2_snaive_hp2,E00027,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,11.821866035461426,20.114,0.3732744001103979,19.877,3.2677859647031826,28.039671379475173,0.5203585320406826,27.70928447896133,4.555416356206549
E00028_260526_ds24_fh1440_m3_ets_hp1,E00028,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,487.0428323745728,10.1276,0.9082022780073712,15.277888888888889,3.028120062202144,14.118254741114288,1.2660680829977844,21.29795087086505,4.221313087488516
E00029_260526_ds24_fh1440_m4_arima_hp1,E00029,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,1932.4721097946167,8.6918,0.8234180523214736,41.37477777777778,8.813130045247513,12.11669561977341,1.1478756883276138,57.67799404830968,12.285834259387464
E00030_260526_ds24_fh1440_m6_lr_hp1,E00030,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,333.86456966400146,13.4244,0.2564714409052201,13.5916,2.30264336988794,18.71411775214411,0.3575308203839551,18.947200831325187,3.209971333190074
E00031_260526_ds24_fh1440_m7_ann_hp1,E00031,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,8089.022850990295,13.8963,0.2196811072643455,14.056099999999995,2.118895857647457,19.371964074306497,0.3062437136308777,19.59473127558124,2.9538204005054145
E00032_260526_ds24_fh1440_m8_dnn_hp1,E00032,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,9019.863271713257,13.8805,0.2517137924972198,14.241,2.280736382058313,19.34993828093891,0.3508984798301401,19.85248881948424,3.1794321694406005
E00033_260526_ds24_fh1440_m9_rt_hp3,E00033,2026-05-26,ds24,sa,30,40,1440,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,464.8610830307007,4.363000000000001,0.4478603452962641,20.1544,2.7155418202962336,6.082185852075679,0.6243341406982961,28.09599049669357,3.785567279423696
E00034_260526_ds24_fh1440_m10_rf_hp1,E00034,2026-05-27,ds24,sa,30,40,1440,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,134298.1024980545,14.9623,0.3327304715030871,15.5474,2.39078258689028,20.85800810784138,0.4638387729384702,21.673659481219666,3.3328407117517656
E00036_260528_ds24_fh1440_m13_lstm_hp2,E00036,2026-05-28,ds24,sa,30,40,1440,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,1664695.2015161514,47.97480000000001,1.1392650457397722,47.9174,9.3990521176931,66.8786728893331,1.5881782587583777,66.7986551336812,13.10263163262776
E00037_260528_ds24_fh1440_m16_prophet_hp1,E00037,2026-05-28,ds24,sa,30,40,1440,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,1268.6002016067505,15.5751,1.894596787944308,19.37977777777777,4.12087050202314,21.712274321490693,2.641139073807677,27.016138028047365,5.744648238744245
E00038_260528_ds24_fh1440_m17_xgb_hp1,E00038,2026-05-28,ds24,sa,30,40,1440,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,15010.814499855042,3.8747,0.0730936233728892,14.6527,2.673749928055685,5.401477314012752,0.1018952560063112,20.426414080841003,3.727307812149588
