experiment_folder,experiment_no,exp_date,dataset_no,dataset,dataset_freq_min,dataset_length_week,forecast_horizon_min,train_pct,test_pct,model_no,hyperparameter_no,model_name,hyperparamter,run_seed,seed_keys_overridden,runtime_ms,train_RMSE,train_RMSE_stddev,test_RMSE,test_RMSE_stddev,train_nRMSE,train_nRMSE_stddev,test_nRMSE,test_nRMSE_stddev,horizon_label,dataset_label
E00064_260516_ds20_fh10080_m2_snaive_hp2,E00064,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m2,hp2,m2_snaive_hp2,days: 7,,,2.517890930175781,41.1446,0.3672030016822363,41.0332,3.209205329118792,10.96692166217981,0.09787642980042,10.937228456433084,0.8554003062928255,1_week,ASHD_148hh_weather
E00065_260516_ds20_fh10080_m3_ets_hp1,E00065,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m3,hp1,m3_ets_hp1,"trend: False, damped_trend: False, seasonal_periods_days: None",,,703.8422584533691,16.456999999999997,0.7996143514914615,41.19711111111111,3.359184664633833,4.386544766372578,0.2131338730419439,10.980918280009355,0.8953766731438642,1_week,ASHD_148hh_weather
E00066_260516_ds20_fh10080_m4_arima_hp1,E00066,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m4,hp1,m4_arima_hp1,"p: 1, d: 0, q: 1",,,2120.7820415496826,13.9479,0.5256150788467842,66.9571111111111,9.013072012977103,3.717754617906549,0.1401005087951554,17.84713892664955,2.402396783585336,1_week,ASHD_148hh_weather
E00067_260516_ds20_fh10080_m6_lr_hp1,E00067,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m6,hp1,m6_lr_hp1,num_features: 50,,,611.3583087921143,32.758300000000006,0.3211510721002044,32.8524,2.794435073101141,8.731588346616201,0.0856014798891717,8.756670309459713,0.7448450230831728,1_week,ASHD_148hh_weather
E00068_260516_ds20_fh10080_m7_ann_hp1,E00068,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m7,hp1,m7_ann_hp1,"seed: 99, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,11935.129761695862,32.59910000000001,0.3188494768521494,33.1483,2.962669556329224,8.6891542500733,0.0849879992675719,8.835541221313004,0.7896872234798153,1_week,ASHD_148hh_weather
E00069_260516_ds20_fh10080_m8_dnn_hp1,E00069,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m8,hp1,m8_dnn_hp1,"seed: 1, n_hidden: 3, hidden_size: 10, activation_function: relu, learning_rate: 0.001, solver: adam, epochs: 500",,,14628.752541542051,31.2844,0.308544684320152,32.180400000000006,3.166981079128126,8.33872644401205,0.0822412997628148,8.577551509982142,0.8441456084250142,1_week,ASHD_148hh_weather
E00070_260516_ds20_fh10080_m9_rt_hp3,E00070,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m9,hp3,m9_rt_hp3,"seed: 1, max_depth: 15, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",,,1376.302933692932,17.8083,1.5252799415189326,39.1863,3.3909058131026466,4.746728149905376,0.4065570118929904,10.444944958285577,0.9038318130721132,1_week,ASHD_148hh_weather
E00071_260516_ds20_fh10080_m10_rf_hp1,E00071,2026-05-16,ds20,ashd,30,140,10080,0.9,0.1,m10,hp1,m10_rf_hp1,"seed: 1, n_estimators: 100, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1",,,502852.93748378754,33.2331,0.4520187926280165,33.745200000000004,2.448791574997305,8.858144307913745,0.120483725411951,8.994642428765626,0.6527151891135495,1_week,ASHD_148hh_weather
E00072_260516_ds20_fh10080_m13_lstm_hp2,E00072,2026-05-17,ds20,ashd,30,140,10080,0.9,0.1,m13,hp2,m13_lstm_hp2,"seed: 1, input_size: 1, hidden_size: 64, num_layers: 1, output_size: 1, batch_size: 4096, epochs: 100, learning_rate: 0.001",,,2430821.180152893,35.7927,1.474144275315155,37.9431,5.54242033872487,9.540395020923848,0.3929270131714032,10.113575179252072,1.477309043560218,1_week,ASHD_148hh_weather
E00073_260517_ds20_fh10080_m16_prophet_hp1,E00073,2026-05-17,ds20,ashd,30,140,10080,0.9,0.1,m16,hp1,m16_prophet_hp1,"seed: 1, seasonality_prior_scale: 10, seasonality_mode: additive, weekly_seasonality: True, daily_seasonality: True, growth: linear",,,403062.5701189041,28.707100000000004,1.3958179163327706,36.544777777777774,5.237057565507987,7.651757869765706,0.372049448605371,9.74085821834842,1.395915868941543,1_week,ASHD_148hh_weather
E00074_260517_ds20_fh10080_m17_xgb_hp1,E00074,2026-05-17,ds20,ashd,30,140,10080,0.9,0.1,m17,hp1,m17_xgb_hp1,"xgb_seed: 1, n_estimators: 200, learning_rate: 0.1, max_depth: 6, subsample: 0.8, colsample_bytree: 0.8",,,22121.4301109314,11.0109,0.1356199346212301,24.8024,2.0996828437753265,2.934909507689848,0.0361489283847935,6.6109763573846525,0.5596617116974509,1_week,ASHD_148hh_weather
