dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight,postcode,state,lat_deg,long_deg
ds32,100,2,S0425,1,2750,NSW,-33.77350000000001,150.6947
ds32,100,2,S0431,1,2284,NSW,-32.9806,151.6184
ds32,100,2,S0443,1,2120,NSW,-33.7118,151.0714
ds32,100,2,S0452,1,2765,NSW,-33.5922,150.9198
ds32,100,2,S0455,1,2566,NSW,-34.0224,150.8296
ds32,100,2,S0459,1,2753,NSW,-33.5996,150.7514
ds32,100,2,S0487,1,2116,NSW,-33.8145,151.0375
ds32,100,2,S0494,1,2280,NSW,-33.0493,151.6569
ds32,100,2,S0501,1,2232,NSW,-34.0244,151.0386
ds32,100,2,S0502,1,2232,NSW,-34.0244,151.0386
ds32,100,2,S0516,1,2263,NSW,-33.243,151.5043
ds32,100,2,S0524,1,2324,NSW,-32.6478,151.7616
ds32,100,2,S0530,1,2125,NSW,-33.7457,151.0476
ds32,100,2,S0533,1,2316,NSW,-32.7858,152.0896
ds32,100,2,S0538,1,2291,NSW,-32.9382,151.7591
ds32,100,2,S0558,1,2322,NSW,-32.7931,151.6769
ds32,100,2,S0562,1,2155,NSW,-33.6999,150.9411
ds32,100,2,S0567,1,2285,NSW,-32.9547,151.6645
ds32,100,2,S0569,1,2110,NSW,-33.8343,151.1459
ds32,100,2,S0571,1,2100,NSW,-33.7666,151.2498
ds32,100,2,S0579,1,2291,NSW,-32.9382,151.7591
ds32,100,2,S0585,1,2097,NSW,-33.732,151.3012
ds32,100,2,S0588,1,2043,NSW,-33.9025,151.1858
ds32,100,2,S0596,1,2203,NSW,-33.9041,151.1394
ds32,100,2,S0598,1,2131,NSW,-33.8883,151.1227
ds32,100,2,W0005,1,2233,NSW,-34.0535,151.0356
ds32,100,2,W0011,1,2283,NSW,-33.0423,151.6116
ds32,100,2,W0015,1,2785,NSW,-33.7333,150.25
ds32,100,2,W0018,1,2750,NSW,-33.77350000000001,150.6947
ds32,100,2,W0024,1,2137,NSW,-33.8569,151.0912
ds32,100,2,W0027,1,2008,NSW,-33.8867,151.1975
ds32,100,2,W0037,1,2282,NSW,-32.9725,151.6527
ds32,100,2,W0042,1,2082,NSW,-33.6035,151.1202
ds32,100,2,W0070,1,2323,NSW,-32.8305,151.5312
ds32,100,2,W0073,1,2420,NSW,-32.4043,151.7519
ds32,100,2,W0075,1,2304,NSW,-32.8979,151.7361
ds32,100,2,W0077,1,2148,NSW,-33.7482,150.8927
ds32,100,2,W0081,1,2101,NSW,-33.6846,151.2635
ds32,100,2,W0085,1,2026,NSW,-33.8879,151.2808
ds32,100,2,W0094,1,2113,NSW,-33.7956,151.126
ds32,100,2,W0097,1,2783,NSW,-33.7206,150.4297
ds32,100,2,W0114,1,2234,NSW,-34.0341,151.0119
ds32,100,2,W0118,1,2072,NSW,-33.7553,151.1512
ds32,100,2,W0120,1,2088,NSW,-33.839,151.2396
ds32,100,2,W0142,1,2519,NSW,-34.3887,150.8938
ds32,100,2,W0155,1,2076,NSW,-33.7053,151.1228
ds32,100,2,W0175,1,2074,NSW,-33.7131,151.1464
ds32,100,2,W0179,1,2117,NSW,-33.7883,151.0526
ds32,100,2,W0181,1,2216,NSW,-33.9535,151.1481
ds32,100,2,W0195,1,2777,NSW,-33.6985,150.6346
ds32,100,2,W0198,1,2232,NSW,-34.0244,151.0386
ds32,100,2,W0199,1,2530,NSW,-34.543,150.793
ds32,100,2,W0207,1,2173,NSW,-33.9544,150.9445
ds32,100,2,W0221,1,2113,NSW,-33.7956,151.126
ds32,100,2,W0232,1,2166,NSW,-33.8866,150.948
ds32,100,2,W0250,1,2080,NSW,-33.642,151.1287
ds32,100,2,W0253,1,2213,NSW,-33.961,150.9882
ds32,100,2,W0263,1,2294,NSW,-32.915,151.7644
ds32,100,2,W0266,1,2530,NSW,-34.543,150.793
ds32,100,2,W0280,1,2111,NSW,-33.8317,151.1168
ds32,100,2,W0291,1,2207,NSW,-33.9353,151.1257
ds32,100,2,W0294,1,2112,NSW,-33.796,151.0974
ds32,100,2,W0302,1,2031,NSW,-33.9121,151.2588
ds32,100,2,W0324,1,2170,NSW,-33.9522,150.8995
ds32,100,2,W0336,1,2065,NSW,-33.8257,151.1931
ds33,100,3,S0120,1,2073,NSW,-33.7439,151.1419
ds33,100,3,S0135,1,2321,NSW,-32.7908,151.5154
ds33,100,3,S0158,1,2155,NSW,-33.6999,150.9411
ds33,100,3,S0168,1,2299,NSW,-32.9028,151.6907
ds33,100,3,S0170,1,2307,NSW,-32.8788,151.691
ds33,100,3,S0172,1,2070,NSW,-33.7833,151.1667
ds33,100,3,S0179,1,2285,NSW,-32.9547,151.6645
ds33,100,3,S0191,1,2577,NSW,-34.6504,150.6487
ds33,100,3,S0209,1,2151,NSW,-33.7722,151.0172
ds33,100,3,S0216,1,2289,NSW,-32.9428,151.6958
ds33,100,3,S0244,1,2087,NSW,-33.7745,151.2203
ds33,100,3,S0247,1,2508,NSW,-34.2377,150.9195
