dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight
ds33,100,3,W0345,1
ds34,1000,1,S0120,7
ds34,1000,1,S0135,6
ds34,1000,1,S0158,6
ds34,1000,1,S0168,3
ds34,1000,1,S0170,8
ds34,1000,1,S0172,6
ds34,1000,1,S0177,4
ds34,1000,1,S0179,9
ds34,1000,1,S0185,8
ds34,1000,1,S0191,9
ds34,1000,1,S0209,11
ds34,1000,1,S0212,7
ds34,1000,1,S0216,6
ds34,1000,1,S0217,9
ds34,1000,1,S0244,5
ds34,1000,1,S0247,10
ds34,1000,1,S0256,6
ds34,1000,1,S0259,8
ds34,1000,1,S0273,10
ds34,1000,1,S0289,11
ds34,1000,1,S0295,4
ds34,1000,1,S0299,5
ds34,1000,1,S0310,5
ds34,1000,1,S0316,9
ds34,1000,1,S0318,14
ds34,1000,1,S0320,6
ds34,1000,1,S0321,4
ds34,1000,1,S0334,9
ds34,1000,1,S0335,13
ds34,1000,1,S0337,2
ds34,1000,1,S0345,5
ds34,1000,1,S0347,11
ds34,1000,1,S0349,12
ds34,1000,1,S0350,4
ds34,1000,1,S0366,9
ds34,1000,1,S0367,6
ds34,1000,1,S0374,6
ds34,1000,1,S0380,7
ds34,1000,1,S0387,6
ds34,1000,1,S0393,8
ds34,1000,1,S0396,5
ds34,1000,1,S0403,11
ds34,1000,1,S0405,10
ds34,1000,1,S0406,7
ds34,1000,1,S0410,11
ds34,1000,1,S0413,9
ds34,1000,1,S0417,8
ds34,1000,1,S0425,5
ds34,1000,1,S0428,6
ds34,1000,1,S0431,5
ds34,1000,1,S0443,5
ds34,1000,1,S0444,4
ds34,1000,1,S0450,10
ds34,1000,1,S0452,7
ds34,1000,1,S0455,4
ds34,1000,1,S0459,5
ds34,1000,1,S0478,7
ds34,1000,1,S0487,6
ds34,1000,1,S0494,3
ds34,1000,1,S0501,6
ds34,1000,1,S0502,6
ds34,1000,1,S0516,6
ds34,1000,1,S0517,4
ds34,1000,1,S0524,4
ds34,1000,1,S0530,9
ds34,1000,1,S0532,4
ds34,1000,1,S0533,7
ds34,1000,1,S0536,10
ds34,1000,1,S0538,8
ds34,1000,1,S0544,10
ds34,1000,1,S0553,7
ds34,1000,1,S0558,6
ds34,1000,1,S0562,11
ds34,1000,1,S0567,8
ds34,1000,1,S0569,8
