edp_site_id,postcode,state,lat,long,cluster,lat_deg,long_deg,date_of_first_data,date_of_last_data,number_of_days
W0124,2147,NSW,-0.5896298171890003,2.634283035900357,2,-33.7833,150.9333,2021-04-14,2024-09-30,1265
W0302,2031,NSW,-0.5918778012655691,2.639964082615599,2,-33.9121,151.2588,2021-04-16,2024-09-30,1263
W0175,2074,NSW,-0.5884045960541002,2.638002332536357,2,-33.7131,151.1464,2021-04-19,2024-09-30,1260
W0001,2233,NSW,-0.594345696827889,2.636068507725148,2,-34.0535,151.0356,2021-04-19,2024-09-30,1260
W0266,2530,NSW,-0.6028890835164012,2.63183433895981,2,-34.543,150.793,2021-04-20,2024-09-30,1259
W0221,2113,NSW,-0.5898444926869957,2.63764628536895,2,-33.7956,151.126,2021-04-23,2024-09-30,1257
S0428,2179,NSW,-0.5928848562439697,2.631898916142133,2,-33.9698,150.7967,2021-04-26,2024-09-30,1253
W0294,2112,NSW,-0.5898514740040036,2.63714712120288,2,-33.796,151.0974,2021-04-28,2024-09-30,1252
W0094,2113,NSW,-0.5898444926869957,2.63764628536895,2,-33.7956,151.126,2021-04-28,2024-09-30,1251
S0410,2137,NSW,-0.5909143795184683,2.637038910789256,2,-33.8569,151.0912,2021-04-29,2024-09-30,1250
W0181,2216,NSW,-0.5926003675758946,2.638032003133641,2,-33.9535,151.1481,2021-04-30,2024-09-30,1250
S0487,2116,NSW,-0.5901743599156226,2.636101668980936,2,-33.8145,151.0375,2021-04-29,2024-09-30,1250
S0443,2120,NSW,-0.5883819067738243,2.636693335597362,2,-33.7118,151.0714,2021-05-03,2024-09-30,1247
S0600,2291,NSW,-0.5748800396803962,2.648695964863327,2,-32.9382,151.7591,2021-05-05,2024-09-30,1245
S0450,2265,NSW,-0.5771227877692089,2.642719957504498,2,-33.0667,151.4167,2021-05-06,2024-09-30,1244
S0393,2325,NSW,-0.5740161017006591,2.640389942953085,2,-32.8887,151.2832,2021-05-13,2024-09-30,1236
W0070,2323,NSW,-0.5730003200759983,2.644718359498032,2,-32.8305,151.5312,2021-05-15,2024-09-30,1235
W0271,2280,NSW,-0.576819100479362,2.646912238367789,2,-33.0493,151.6569,2021-06-29,2024-09-30,1189
S0582,2289,NSW,-0.5749603248259879,2.647591171446814,2,-32.9428,151.6958,2021-06-23,2024-09-30,1195
